QKeyCode,SDL1.2,PearPC,AppleGlyph
Q_KEY_CODE_OPEN,,,
Q_KEY_CODE_PASTE,,,
Q_KEY_CODE_FIND,,,
Q_KEY_CODE_CUT,,,
Q_KEY_CODE_LF,,,
Q_KEY_CODE_HELP,SDLK_HELP,,
Q_KEY_CODE_META_L,SDLK_LMETA,Right-Alt,
Q_KEY_CODE_META_R,SDLK_RMETA,,
Q_KEY_CODE_COMPOSE,SDLK_COMPOSE,,
Q_KEY_CODE_PAUSE,SDLK_PAUSE,,F15
Q_KEY_CODE_RO,,,
Q_KEY_CODE_HIRAGANA,,,
Q_KEY_CODE_HENKAN,,,
Q_KEY_CODE_YEN,,,
Q_KEY_CODE_MUHENKAN,,,
Q_KEY_CODE_KATAKANAHIRAGANA,,,
Q_KEY_CODE_KP_COMMA,,,
Q_KEY_CODE_KP_EQUALS,SDLK_KP_EQUALS,,
Q_KEY_CODE_POWER,SDLK_POWER,,
Q_KEY_CODE_SLEEP,,,
Q_KEY_CODE_WAKE,,,
Q_KEY_CODE_AUDIONEXT,,,
Q_KEY_CODE_AUDIOPREV,,,
Q_KEY_CODE_AUDIOSTOP,,,
Q_KEY_CODE_AUDIOPLAY,,,
Q_KEY_CODE_AUDIOMUTE,,,
Q_KEY_CODE_VOLUMEUP,,,
Q_KEY_CODE_VOLUMEDOWN,,,
Q_KEY_CODE_MEDIASELECT,,,
Q_KEY_CODE_MAIL,,,
Q_KEY_CODE_CALCULATOR,,,
Q_KEY_CODE_COMPUTER,,,
Q_KEY_CODE_AC_HOME,,,
Q_KEY_CODE_AC_BACK,,,
Q_KEY_CODE_AC_FORWARD,,,
Q_KEY_CODE_AC_REFRESH,,,
Q_KEY_CODE_AC_BOOKMARKS,,,
